"species","region","minimum.age","maximum.age","family","Site"
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",608
"Mammuthus trogontherii","Eurasia","0.117","0.781","Elephantidae",609
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",610
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",611
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",612
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",613
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",614
"Mammuthus trogontherii","Eurasia","0.424","0.781","Elephantidae",615
"Mammuthus trogontherii","Eurasia","0.676","0.781","Elephantidae",616
"Mammuthus trogontherii","Eurasia","0.676","0.781","Elephantidae",617
"Mammuthus trogontherii","Eurasia","0.46","0.46","Elephantidae",618
"Palaeoloxodon antiquus","Eurasia","0.424","0.774","Elephantidae",604
"Palaeoloxodon antiquus","Eurasia","0.1","0.126","Elephantidae",619
"Palaeoloxodon antiquus","Eurasia","0.1","0.126","Elephantidae",620
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",621
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",622
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",623
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",624
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",625
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",626
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",627
"Palaeoloxodon antiquus","Eurasia","0.6","0.781","Elephantidae",628
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",629
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",630
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",631
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",632
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",633
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",634
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",635
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",636
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",637
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",638
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",639
"Palaeoloxodon antiquus","Eurasia","0.039","0.1","Elephantidae",640
"Palaeoloxodon antiquus","Eurasia","0.126","0.781","Elephantidae",641
"Palaeoloxodon antiquus","Eurasia","0.424","0.781","Elephantidae",615
